dataset,stock,seq,pred,seed,step_size,top_k,MSE,MAE,CRPS,variance,learning rate,epochs,batch_size,reference
Industry,AAPL,20,20,2024,5,5,0.37418998290540834,0.51891794040991,0.2570415797986482,0.01435959649955766,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,10,5,1.0039307497601653,0.8385177280769839,0.418511942813271,0.03535463816362389,0.0003,100,8,True
Industry,AAPL,20,20,2025,1,10,0.3684512544087586,0.5135927904317308,0.25720970254195363,0.011649464109169056,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,10,5,0.6130740615942959,0.6617669404320451,0.3376915078414114,0.013457197839865868,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,10,5,0.5029852297684665,0.5951901660968306,0.296002187226948,0.01871352877483859,0.0003,100,8,True
Industry,AAPL,20,20,2026,10,5,0.5514406209339912,0.6307683672516131,0.31559919056139496,0.017733393385686587,0.0003,100,8,True
Industry,AAPL,20,20,2024,10,5,0.5930117376372538,0.6529441190891512,0.3321794208727385,0.01252756290489512,0.0003,100,8,True
Industry,AAPL,20,20,2025,2,10,0.9143848238329008,0.8185146266298744,0.4235078912032278,0.012198665395954648,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,1,10,0.64718463973426,0.6815769430905453,0.3497583991602847,0.011472186235143391,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,1,10,0.9188811952975686,0.8188259566802324,0.42401655096756785,0.01354661372214428,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,1,10,0.5880873291789206,0.6410606658509872,0.33062759198640523,0.009866093809000925,0.0003,100,8,True
Industry,AAPL,20,20,2026,1,10,0.5850543111179008,0.64805009313919,0.33011850557829203,0.016317691107164637,0.0003,100,8,True
Industry,AAPL,20,20,2024,1,10,0.7075427988568089,0.7084480220156166,0.36334366547433955,0.010250253959403018,0.0003,100,8,True
Industry,AAPL,20,20,2025,5,10,0.5190616037712589,0.609165267780615,0.3068245335629112,0.015087150839904858,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,2,10,,,,,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,2,10,,,,,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,2,10,,,,,0.0003,100,8,True
Industry,AAPL,20,20,2026,2,10,0.8873973635133244,0.791508819923892,0.405469116411711,0.017813647458481685,0.0003,100,8,True
Industry,AAPL,20,20,2024,2,10,0.8459755167429027,0.8003916949161645,0.39907909694470856,0.03869986016095452,0.0003,100,8,True
Industry,AAPL,20,20,2025,10,10,0.5131749900113871,0.6016088416136386,0.30764680159719365,0.009429343211036894,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,5,10,,,,,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,5,10,,,,,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,5,10,,,,,0.0003,100,8,True
Industry,AAPL,20,20,2026,5,10,1.0476902859405386,0.8570621588711064,0.43807280691046463,0.023085148331945034,0.0003,100,8,True
Industry,AAPL,20,20,2024,5,10,0.8968441570265611,0.8369778027350299,0.43150450053967926,0.012352668503579151,0.0003,100,8,True
Industry,AAPL,20,20,2025,1,20,0.42058006995737296,0.5372694228340116,0.27328671907123764,0.008614741790192322,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,10,10,,,,,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,10,10,,,,,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,10,10,,,,,0.0003,100,8,True
Industry,AAPL,20,20,2026,10,10,0.5752897838666203,0.6415880235991253,0.32614416825143916,0.013336134727548632,0.0003,100,8,True
Industry,AAPL,20,20,2024,10,10,0.9014474916867432,0.8035404841787314,0.4104303058825041,0.015014550013091942,0.0003,100,8,True
Industry,AAPL,20,20,2025,2,20,0.5923142956561797,0.6477951729246475,0.33642276964689555,0.005454011197509684,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,1,20,0.39335433546565635,0.531604688259665,0.27131206110904094,0.007068929322415667,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,1,20,0.5865199902538578,0.6465185486707564,0.3252651565953305,0.013092273333041965,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,1,20,0.4692981933831145,0.5814204236468532,0.2986775699414705,0.006773669624405358,0.0003,100,8,True
Industry,AAPL,20,20,2026,1,20,0.6304671033257578,0.6725061756346871,0.34529665896767064,0.009455743882917027,0.0003,100,8,True
Industry,AAPL,20,20,2024,1,20,0.6016148307804386,0.6662966941047636,0.34270065709164266,0.00858434090798505,0.0003,100,8,True
Industry,AAPL,20,20,2025,5,20,0.8608335950343906,0.767776434820609,0.3943878976922286,0.017493799866013262,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,2,20,,,,,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,2,20,,,,,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,2,20,,,,,0.0003,100,8,True
Industry,AAPL,20,20,2026,2,20,0.5795076034611387,0.6396547722714142,0.3274394336499666,0.00985266497846325,0.0003,100,8,True
Industry,AAPL,20,20,2024,2,20,0.4005828047514985,0.5360456474860851,0.2724825457522744,0.008248681744536617,0.0003,100,8,True
Industry,AAPL,20,20,2025,10,20,0.4341436790294402,0.5500275579133259,0.28229821355719315,0.00691583437981012,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,5,20,,,,,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,5,20,,,,,0.0003,100,8,True
All_stocks,AAPL,20,20,2025,5,20,,,,,0.0003,100,8,True
Industry,AAPL,20,20,2026,5,20,0.39933444847364796,0.5170283808728656,0.2576356938010768,0.015344419333556179,0.0003,100,8,True
Industry,AAPL,20,20,2024,5,20,0.9999010047687481,0.8396779659991612,0.43319677051744965,0.0172109184986532,0.0003,100,8,True
All_stocks,AAPL,20,20,2024,10,20,,,,,0.0003,100,8,True
All_stocks,AAPL,20,20,2026,10,20,,,,,0.0003,100,8,True
Industry,AAPL,20,20,2026,10,20,0.5728607773269195,0.639560368746647,0.3287895604183799,0.008535094089134568,0.0003,100,8,True
Industry,AAPL,20,20,2024,10,20,0.6612099296033638,0.697441137706773,0.3563795842622456,0.015221853049016305,0.0003,100,8,True
only,AAPL,20,20,2025,1,1,0.9199362292054385,0.840472124369871,0.4320205387316252,0.020985864403421785,0.0003,100,8,True
only,AAPL,20,20,2026,1,1,0.8795226573944092,0.8500729569038097,0.4324721286171361,0.027406815679288217,0.0003,100,8,True
only,AAPL,20,20,2024,1,1,1.0351834884017321,0.885172538184301,0.45076264833149154,0.022033390920817086,0.0003,100,8,True
only,AAPL,20,20,2025,2,1,0.7961480155523243,0.768525183968278,0.384599811152408,0.03192303187089928,0.0003,100,8,True
only,AAPL,20,20,2026,2,1,0.5641506217579985,0.631109513131334,0.3119721914592542,0.025067001139912993,0.0003,100,8,True
only,AAPL,20,20,2024,2,1,0.7183139313955675,0.6864400970066055,0.34599028135600846,0.019166708357088554,0.0003,100,8,True
only,AAPL,20,20,2025,5,1,0.7094619372883579,0.7298464811922655,0.3640834406802529,0.032307329620414535,0.0003,100,8,True
only,AAPL,20,20,2024,5,1,0.8009915791356,0.752865720511506,0.3759306857460423,0.03441492311432638,0.0003,100,8,True
only,AAPL,20,20,2026,5,1,0.8878191746355638,0.7906604517171312,0.39764216071680974,0.04590063579860163,0.0003,100,8,True
only,AAPL,20,20,2025,10,1,0.8316736687918078,0.807432138050063,0.4075990978040193,0.022554631374552526,0.0003,100,8,True
only,AAPL,20,20,2024,10,1,1.2645171506466273,0.9462021119604807,0.47911633943256576,0.02679980658154631,0.0003,100,8,True
only,AAPL,20,20,2026,10,1,0.8859283429870278,0.8231827445296259,0.4208691998531944,0.021616175003317806,0.0003,100,8,True
only,AAPL,20,20,2025,1,3,0.5454128962729622,0.6436796939424179,0.33117660723234477,0.008884873209209401,0.0003,100,8,True
only,AAPL,20,20,2024,1,3,0.6885336667682992,0.7068691525848126,0.3580561186137952,0.015906551339595613,0.0003,100,8,True
only,AAPL,20,20,2026,1,3,0.4735244009116177,0.6041103424432451,0.3061633862947163,0.011707242965186614,0.0003,100,8,True
only,AAPL,20,20,2025,2,3,0.6739747852726555,0.6935019654777429,0.3546469838995683,0.011171071464795412,0.0003,100,8,True
only,AAPL,20,20,2025,5,3,1.0994695914917239,0.8872948157429184,0.4494387978001645,0.03006137791109699,0.0003,100,8,True
only,AAPL,20,20,2024,2,3,0.5200442482473513,0.6086831141950746,0.3092137888858193,0.01294957573321756,0.0003,100,8,True
only,AAPL,20,20,2026,2,3,0.6661223338908904,0.6883304692133302,0.3543628391466643,0.011383860606236518,0.0003,100,8,True
only,AAPL,20,20,2025,10,3,0.9180451144476305,0.8230183982030517,0.4313161749588816,0.00948873063621347,0.0003,100,8,True
only,AAPL,20,20,2026,5,3,0.8452611629031759,0.7641192086264811,0.37853527069091797,0.03691641675556166,0.0003,100,8,True
only,AAPL,20,20,2024,5,3,0.5155085649613147,0.6050476532637306,0.3074345588684082,0.013429474053592641,0.0003,100,8,True
only,AAPL,20,20,2025,1,5,0.5911090789434735,0.6564048050810851,0.3355779396860223,0.009688388290835041,0.0003,100,8,True
only,AAPL,20,20,2026,10,3,0.7842999976847816,0.7660736292728538,0.3955429227728593,0.01487055110061629,0.0003,100,8,True
only,AAPL,20,20,2024,10,3,0.5287621852921826,0.5920152752184561,0.29986336356715154,0.01657270478972038,0.0003,100,8,True
only,AAPL,20,20,2025,2,5,0.6058613933718767,0.6437484937676032,0.3230101434808028,0.015822263516069992,0.0003,100,8,True
only,AAPL,20,20,2026,1,5,0.8007593591837412,0.7570432638405731,0.38764526969508123,0.016741927505306932,0.0003,100,8,True
only,AAPL,20,20,2024,1,5,0.4038429610207357,0.5443224100595891,0.278605486217298,0.007719329034693763,0.0003,100,8,True
only,AAPL,20,20,2025,5,5,0.7770300308522237,0.7463420131175815,0.37875188024420486,0.023636131915923352,0.0003,100,8,True
only,AAPL,20,20,2026,2,5,0.4284381478129538,0.5584809176399984,0.2766822764748021,0.0149976185974645,0.0003,100,8,True
only,AAPL,20,20,2024,2,5,0.48301290810875624,0.5868100358692874,0.29247534902472244,0.015959979868753787,0.0003,100,8,True
only,AAPL,20,20,2025,10,5,0.6741458500403703,0.6825952136977036,0.34298871692858246,0.01775235361679429,0.0003,100,8,True
only,AAPL,20,20,2026,5,5,0.5875418354001679,0.6423459941225502,0.3257529610081723,0.013972289873039261,0.0003,100,8,True
only,AAPL,20,20,2024,5,5,0.4733706260443757,0.5852939249619905,0.29772015621787623,0.009793281363315337,0.0003,100,8,True
only,AAPL,20,20,2025,1,10,0.48341093370331206,0.5971942531192763,0.30297635730944183,0.009966575869163219,0.0003,100,8,True
only,AAPL,20,20,2024,10,5,1.356548254070364,1.004828156933764,0.5088535609998202,0.026362000821486053,0.0003,100,8,True
only,AAPL,20,20,2026,10,5,0.5967199165933633,0.6459321181661581,0.3280662737394634,0.011931935777735813,0.0003,100,8,True
only,AAPL,20,20,2025,2,10,1.011952894260955,0.8531424917376604,0.4410497263858193,0.012664184757696201,0.0003,100,8,True
only,AAPL,20,20,2026,1,10,0.5117839155279004,0.5945374415156156,0.30620238655491877,0.00663857586170215,0.0003,100,8,True
only,AAPL,20,20,2024,1,10,0.5878442966375228,0.6571919277502232,0.3411329921923186,0.00743183712654871,0.0003,100,8,True
only,AAPL,20,20,2025,5,10,0.48998496460812285,0.5933663089899546,0.2999089140641062,0.011312853538555137,0.0003,100,8,True
only,AAPL,20,20,2026,2,10,0.46881647856962017,0.5781032468116335,0.29522958554719625,0.008033507678641782,0.0003,100,8,True
only,AAPL,20,20,2024,2,10,0.46842976087152705,0.5712652975909188,0.29138494792737457,0.010120267098042075,0.0003,100,8,True
only,AAPL,20,20,2025,10,10,0.5062294557882481,0.5884008354383476,0.2989798345063862,0.008809372194335184,0.0003,100,8,True
only,AAPL,20,20,2024,5,10,0.9091359816907302,0.8021716318417005,0.4121543482730263,0.011812615976568967,0.0003,100,8,True
only,AAPL,20,20,2026,5,10,0.6885322814335639,0.7032721040586545,0.3582830931010999,0.022745162773029997,0.0003,100,8,True
only,AAPL,20,20,2025,1,20,0.3257718386056597,0.4905307782054459,0.250054259049265,0.005510910208708739,0.0003,100,8,True
only,AAPL,20,20,2024,10,10,0.6182503923837719,0.6688589632255325,0.34599760959022924,0.008408700850644336,0.0003,100,8,True
only,AAPL,20,20,2026,10,10,0.6711444013108512,0.7252547133122391,0.37413624713295385,0.012269130518635967,0.0003,100,8,True
only,AAPL,20,20,2025,2,20,0.36475409233518935,0.5080758712834043,0.25508393739399154,0.010707544647317076,0.0003,100,8,True
only,AAPL,20,20,2024,1,20,0.4735748903945792,0.5660961912425291,0.29322302968878494,0.0053015074616721775,0.0003,100,8,True
only,AAPL,20,20,2025,5,20,0.5067785511201032,0.5963092300513272,0.30851866069592926,0.005731596068635008,0.0003,100,8,True
only,AAPL,20,20,2026,1,20,1.0669647612796833,0.9135565291146863,0.48111785085577713,0.006282874321477096,0.0003,100,8,True
only,AAPL,20,20,2024,2,20,0.43196437926763115,0.5442325354645692,0.2765989554555793,0.008868854246681853,0.0003,100,8,True
only,AAPL,20,20,2025,10,20,1.7895300504987333,1.1941918966596219,0.6123711937352231,0.025689202854050075,0.0003,100,8,True
only,AAPL,20,20,2026,2,20,0.47645005785856126,0.5797757774975166,0.29653609426398025,0.008642924458683816,0.0003,100,8,True
only,AAPL,20,20,2024,5,20,1.9737818619723995,1.2699497370249213,0.6689484244898746,0.010993953727089795,0.0003,100,8,True
only,AAPL,20,20,2026,5,20,0.5523020732044662,0.6256794986806714,0.32259022562127365,0.007492564898383976,0.0003,100,8,True
only,AAPL,20,20,2024,10,20,0.7396203640448689,0.7245059883134047,0.37213014301500824,0.010178766645842868,0.0003,100,8,True
only,AAPL,20,20,2026,10,20,0.7170810207276896,0.7077692254930095,0.3675000040154708,0.006957347115477779,0.0003,100,8,True
